iter	Passed	Remaining
417	2778	3868
418	2784	3861
419	2790	3853
420	2796	3846
421	2801	3837
422	2807	3829
423	2813	3822
424	2818	3813
425	2825	3806
426	2830	3798
427	2836	3790
428	2842	3783
429	2847	3775
430	2853	3767
431	2860	3760
432	2865	3752
433	2871	3744
434	2877	3737
435	2883	3730
436	2889	3723
437	2906	3729
438	2912	3721
439	2918	3713
440	2923	3706
441	2929	3697
442	2934	3690
443	2940	3682
444	2946	3674
445	2966	3684
446	2971	3676
447	2977	3669
448	2984	3662
449	2990	3654
450	2995	3646
451	3001	3639
452	3007	3631
453	3024	3637
454	3030	3629
455	3035	3621
456	3042	3614
457	3047	3606
458	3068	3617
459	3074	3609
460	3080	3601
461	3086	3594
462	3091	3585
463	3097	3577
464	3103	3570
465	3109	3563
466	3115	3556
467	3121	3547
468	3126	3539
469	3132	3531
470	3137	3524
471	3143	3516
472	3148	3508
473	3154	3500
474	3160	3493
475	3165	3485
476	3172	3478
477	3177	3470
478	3183	3462
479	3188	3454
480	3194	3446
481	3200	3439
482	3206	3432
483	3211	3424
484	3217	3416
485	3223	3409
486	3228	3401
487	3234	3393
488	3240	3386
489	3246	3379
490	3252	3371
491	3258	3364
492	3264	3357
493	3270	3350
494	3276	3342
495	3282	3335
496	3288	3327
497	3293	3320
498	3299	3312
499	3305	3305
500	3311	3298
501	3317	3290
502	3323	3283
503	3328	3275
504	3334	3268
505	3340	3261
506	3346	3253
507	3352	3246
508	3357	3238
509	3378	3246
510	3385	3239
511	3390	3231
512	3396	3224
513	3401	3216
514	3407	3209
515	3413	3201
516	3418	3194
517	3424	3186
518	3429	3178
519	3436	3172
520	3442	3165
521	3448	3157
522	3454	3150
523	3459	3142
524	3465	3135
525	3471	3127
526	3476	3120
527	3482	3113
528	3497	3113
529	3503	3107
530	3519	3108
531	3525	3101
532	3530	3093
533	3537	3086
534	3543	3079
535	3549	3072
536	3554	3064
537	3560	3057
538	3565	3049
539	3571	3042
540	3576	3034
541	3582	3027
542	3588	3019
543	3593	3012
544	3599	3004
545	3605	2997
546	3610	2990
547	3616	2982
548	3622	2975
549	3627	2968
550	3633	2961
551	3645	2958
552	3650	2950
553	3656	2943
554	3662	2936
555	3668	2929
556	3674	2922
557	3680	2915
558	3686	2908
559	3693	2901
560	3699	2894
561	3705	2887
562	3711	2880
563	3717	2873
564	3723	2866
565	3734	2863
566	3740	2856
567	3747	2850
568	3753	2843
569	3759	2836
570	3765	2829
571	3772	2822
572	3779	2816
573	3785	2809
574	3792	2803
575	3798	2796
576	3804	2789
577	3810	2782
578	3817	2775
579	3823	2768
580	3829	2761
581	3836	2755
582	3842	2748
583	3848	2741
584	3854	2734
585	3860	2727
586	3865	2719
587	3871	2712
588	3877	2705
589	3893	2705
590	3907	2704
591	3913	2696
592	3918	2689
593	3924	2682
594	3930	2675
595	3936	2668
596	3953	2668
597	3968	2667
598	3974	2660
599	3979	2653
600	3985	2645
601	3990	2638
602	4027	2651
603	4034	2644
604	4039	2637
605	4057	2638
606	4063	2630
607	4068	2623
608	4074	2615
